,Text,Label
1672,"Band Aid retains number one spot
 
 The charity single by Band Aid 20 has held on the chart top spot for a second week, strengthening its chances of becoming the Christmas number one.
 
 Do They Know It's Christmas, featuring artists including Chris Martin and Jamelia, held off Kylie Minogue to remain the week's biggest single. Next week's chart will reveal who will have the festive chart-topper Minogue's latest release I Believe in You went in at number two, pushing down Ice Cube's You Can Do It to three. Destiny's Child also slipped one place to four with Lose My Breath, followed by Girls Aloud at five with the Children in Need record I'll Stand By You.
 
 The only other new entry in the top 10 came from Robbie Williams track Misunderstood, a new track written for his Greatest Hits album. There were no new releases in the entire top 40 album charts as record companies put out all the big releases early hoping to cash in on the lucrative Christmas market. U2's How to Dismantle a Bomb remains at number one for a third week in a row, followed by Williams' Greatest Hits. Opera band Il Divo have moved up one place with their eponymous album to number three. Maroon 5's album Songs About Jane has moved up to number seven despite being released 47 weeks ago. And the Abba Gold greatest hits album has crept back into the top 40 more than nine years after it was first released.
",3
520,"Serena ends Sania Mirza's dream
 
 Sania Mirza, the first Indian woman to reach the third round of a Grand Slam tennis event, has lost to women's favourite Serena Williams.
 
 The 18-year-old Mirza, who got a wild card entry into the Australian Open in Melbourne, lost to Williams 1-6,4-6 in the third round. Williams took just 56 minutes to defeat Mirza and sail into the fourth round. The only other Indian woman to win a match at a Grand Slam is Nirupama Vaidyanathan. Vaidyanathan made it to the second round of the Australian Open in 1998.
 
 Playing the biggest match of her life, Mirza made little impact on Williams in the early stages of the game. But the teenager showed more confidence in the second set and engaged the seventh-seeded Williams in some well contested rallies. Mirza, a junior Wimbledon doubles title winner, became the first Indian woman to reach the third round of a grand slam tennis event when she beat Hungarian Petra Mandula on Wednesday. ""I'm really excited. I was confident but I didn't think it was going to be that easy,"" Mirza said after her second round win. ""My aim was to win a round here. When I did that I was so relieved, there was no pressure."" Tennis is not a particularly popular sport in India, but a number of Indians watched the live telecast of the match between Mirza and Williams. Mirza, who lives in the southern Indian city of Hyderabad known for producing a host of top Indian cricketers, turned professional two years ago. She says she was considered too small when she went for her first tennis classes as a six-year-old girl. ""Then finally [the coach] called my parents up and said 'the way she hits the ball, I've never seen a six-year-old hit a ball like that',"" Mirza told the Associated Press.
",1
1292,"Norway upholds 'Napster' ruling
 
 A Norwegian student who ran a website which linked to downloadable MP3 files has been ordered to pay compensation by the country's Supreme Court.
 
 Frank Allan Bruvik was ordered to pay 100,000 kroner (Â£8,000) to the music industry in Norway. He was a student when he set up his napster.no site, which allowed users to submit and receive links to MP3 files. Bruvik had earlier been cleared on appeal after a lower court had found for the music industry. Music industry bosses in Norway said the ruling would help build confidence in the internet as a distribution medium.
 
 Frank Allan Bruvik set up the napster.no website as part of a school project in 2001 while studying computer engineering in the Norwegian town of Lillehammer. The website was not associated with the napster.com site in the USA, which had been operating since 1999 and was already facing legal action.
 
 Bruvik's site was online between August and November 2001, and while it did not host any music, at its peak it was providing links to more than 170 free files on other servers. As well as providing links, the site allowed those visiting it to submit links that could later be accessed by other visitors. A legal complaint for copyright violation was filed by groups including Norway's performing rights society, Tono, and the Norwegian branches of Sony Music and Universal Music, who saw it as an important test of principle.
 
 A Norwegian court ruled in 2003 that Bruvik would have to pay 100,000 kroner to the music industry, but the country's Court of Appeal cleared him, saying that the copyright violation occurred when others posted the music. However, the Supreme Court stated that the music was clearly published in violation of copyright law It added that the case was decided based on the responsibility for abetting an illegal act, and that Bruvik's actions were premeditated. Norway's music industry said it was satisfied with the ruling, because showed that music piracy would not be accepted.
 
 Meanwhile, in the USA a further 717 lawsuits against people alleged to have traded copyrighted songs were filed this week by the Recording Industry Association of America. The suits, brought on behalf of the major record companies, cite the individuals for illegally distributing music via unauthorized peer-to-peer services such as KaZaa and eDonkey. As with preceding cases, the fresh action was made against so-called ""John Doe"" defendants, who are identified only by the codes given to their computers' internet connections.
",2
1598,"Downloads enter US singles chart
 
 Digital music downloads are being included in the main US singles chart for the first time.
 
 Billboard's Hot 100 chart now incorporates data from sales of music downloads, previously only assigned to a separate download chart. Green Day's Boulevard of Broken Dreams is currently number two in Billboard's pop chart, and tops its digital chart. Download sales are due to be incorporated into the UK singles chart later this year.
 
 Digital sales in the US are already used to compile Billboard's Hot Digital Sales chart. They will now be tallied with sales of physical singles and airplay information to make up its new Hot 100 chart. Its second new chart - the Pop 100 - also combines airplay, digital and physical sales but confines its airplay information to US radio stations which play chart music. In addition to Green Day, other artists in the current US digital sales top 10 include Kelly Clarkson, The Game and the Killers.
 
 Sales of legally downloaded songs shot up more than tenfold in 2004, with 200 million track purchased online in the US and Europe in 12 months, the International Federation of the Phonographic Industry (IFPI) reported last month. In the UK sales of song downloads overtook those for physical singles for the first time at the end of last year. The last week of December 2004 saw download sales of 312,000 compared with 282,000 physical singles, according to the British Phonographic Industry. The UK's first official music download chart was launched last September, compiling the most popular tracks downloaded from legal UK sites - including iTunes, OD2, mycokemusic.com and Napster. Westlife's Flying Without Wings - a 1999 track reissued for the occasion - was the first number one of the UK download chart.
 
 A spokesman for the British Phonographic Industry (BPI) said the first combined UK download and sales chart was due to be compiled ""within the first half of this year"". ""Work is going on across the music business right now to make sure the new chart works to plan,"" he said. The BPI spokesman described the UK music download chart, compiled by the Official Charts Company, as having been ""a great success"" since its launch. ""It has provided a focus for the industry and has really driven interest in downloads among music fans,"" he said.
",3
735,"Reaction from Spanish press
 
 England's 1-0 defeat to Spain on Wednesday dominated the back and front pages of the country's press on Thursday.
 
 Controversy was in no short supply, with racist abuse of England's black players, Wayne Rooney's petulance and England's inept performance. But what did the Spanish press make of the affair? BBC Sport looks at the reaction. 
 
  
 
 There is little coverage of the racist chanting on Wednesday night's game. But AS does cover the English reaction to the pre-match comments from Spain coach Luis Aragones, who highlighted Britain's colonial past when probed about his own remarks regarding Thierry Henry in October. Journalist Guillem Balague writes: ""In our country, where multi-culturalism is a new thing, we are in nappies dealing with these things, and have a naivety which makes the English nervous.""
 
 Marca refers in passing to the booing of England's black players - but only after referring to the cheers of ""ole"" which greeted the long periods of Spanish possession. Aragones' ""no comment"" to questions about racism after the match is also highlighted, as Marca focuses on the Spanish coach's praise for his players. Serbia & Montenegro's 2-0 World Cup qualifying win in Belgium - which could make qualification tougher for Spain - seems to be of greater importance.
 
 Elsewhere, the Spanish media criticises its English counterparts for stoking up the racism issue. ""Were there racist chants against some players? This hasn't happened in the Spanish league and Spain for many years,"" said Spanish Federation press officer Fernando Garrido. ""So you (English reporters) should ask yourselves what you have done to contribute to all this."" And Spanish daily ABC accuses English reporters of launching a witch-hunt against Aragones. ""Perhaps it was because their team had played so poorly and they wanted to divert attention towards this muddled issue,"" the paper says. 
 
  
 
 ""What the boy in the Bernabeu did was odd... Rooney seemed intent to kick any Spanish player who approached him."" Yet Rooney is seen only as the worst example of many England miscreants, with Gary Neville criticised for continuing the feud between Manchester United and Arsenal for his tackles on Jose Reyes. Ashley Cole's treatment of Joaquin, and a Frank Lampard foul on Reyes are also lambasted for their ""ugliness"".
 
 Marca's headline says it all: ""Wayne Rooney se volvi&#243; loco en el Bernab&#233;u (Wayne Rooney became crazy in the Bernabeu)"" Rooney's display alarms the writer, in particular three ""chilling"" fouls on Joaquin, Casillas and Marchena, which ""could well have left them in the infirmary."" And like AS, Marca criticises Gary Neville for ""leaving a message on Reyes' ankle"" to remind him of the Manchester United-Arsenal clash this month. 
 
  
 
 Spain's first-half performance is showered with praise, with Xavi singled out as the biggest star. ""Xavi did things on Wednesday which were worthy of Maradona,"" the paper beams, adding, ""What a work-rate, what dynamism, what vision, what leadership, what a midfield player!"" On a controversial evening, AS offers one seemingly undeniable viewpoint: ""Spanish football players played better football than the English.""
 
 More plaudits are given to the home team, with Jaime Vargas lauding the manner in which ""Spain dominated England with order and quality"". The paper adds: ""The bad thing about Spain v England was that it lasted only 65 minutes after which a succession of changes prevented any real competition."" Vargas does not mention England's two Galacticos, simply adding in a PS: ""I have not forgotten to speak of Beckham and Owen. They forgot to play.""
",1
556,"Hereford 1-1 Doncaster
 
 Hereford win 3-1 on penalties.
 
 Rovers took the lead on 59 minutes as Michael McIndoe's corner found Adriano Rigoglioso, whose stunning volley soared into the top right of the net. Danny Williams equalised for the hosts after 72 minutes with a crisp finish from just insist the penalty box. McIndoe saw an extra-time penalty saved, giving Mills the chance to net the winning penalty.
 
 Mawson, Travis, Mkandawire, James, Robinson, Daniel Williams, Stanley, Hyde (Pitman 105), Purdie (Mills 83), Brown, Stansfield (Green 102). Subs Not Used: Smith, Scott.
 
 James.
 
 Daniel Williams 72.
 
 Ingham, Mulligan, Fenton, Morley, Priet (Ryan 79), McIndoe, Ravenhill (Price 90), Rigoglioso, Tierney (Jackson 79), Beardsley, Coppinger. Subs Not Used: Warrington, Maloney.
 
 Rigoglioso 59.
 
 1,375
 
 T Parkes (W Midlands).
",1
627,"SA return to Mauritius
 
 Top seeds South Africa return to the scene of one of their most embarrassing failures when they face the Seychelles in the Cosafa Cup next month.
 
 Last year Bafana Bafana were humbled in the first by minnows Mauritius who beat them 2-0 in Curepipe. Coach Stuart Baxter and his squad will return to Curepipe face the Seychelles in their first game of the new-look regional competition. The format of the event has been changed this year after the entry of the Seychelles, who have taken the number of participants to 13. The teams are now divided into three group of four and play knock-out matches on successive days to determine the group champions. Mauritius host the first group, and their opponents are Madagascar, the Seychelles and South Africa. Bafana Bafana play the Seychelles before Mauritius take on Madagascar in a double-header on 26 February. The two winners return to the New George V stadium the next day and the victor of the group decider advances to August's final mini-tournament. The second group will be hosted in Namibia in April. It comprises Zimbabwe, Botswana, Mozambique and the hosts. In June, former champions Zambia will host Lesotho, Malawi and Swaziland in the third group in Lusaka. The three group winners will then join title holders Angola for the last of the mini-tournaments in August, where the winners will be crowned.
 
 Seychelles v South Africa
 
 Mauritius v Madagascar
 
 Winners meet in final match
 
 Mozambique v Zimbabwe
 
 Namibia v Botswana
 
 Winners meet in final match
 
 Lesotho v Malawi
 
 Zambia v Swaziland
 
 Winners meet in final match
",1
37,"England children's tsar appointed
 
 The first children's commissioner for England has been appointed.
 
 Great Ormond Street Hospital professor of child health, Al Aynsley-Green, was chosen by the government and will start the Â£100,000-a-year job immediately. He will oversee a Â£2.5m annual budget and have the power to look into ""any matter relating to the interests and well-being of children"". Prof Aynsley-Green has also been the national clinical director for children in the Department of Health. He promised to make sure that children's opinions ""count"".
 
 ""I will be drawing on my experience of working with children and young people to help ensure that those with the power to improve children's lives do live up to their responsibilities. ""I want all children and young people to know that they can approach me to discuss any matter that affects them, knowing that I will value their opinion."" Education Secretary Ruth Kelly said Prof Aynsley-Green would ""strengthen the voice of children and young people"". Prof Aynsley-Green was a lecturer at Oxford University, trained at Guy's Hospital Medical School, University of London; Oriel College, Oxford; and in Switzerland. He is described as ""a proud grandfather"" of four. Scotland, Wales and Northern Ireland already have children's commissioners.
",0
1584,"Johnny Depp: The acting outlaw
 
 Johnny Depp, whose latest role was Peter Pan creator JM Barrie in Finding Neverland, is celebrated as one of Hollywood's most maverick talents. Depp has become an unlikely major star, given his preference for taking dark and idiosyncratic roles instead of surefire box office hits. He has had a long-running working relationship with the equally unconventional director Tim Burton. Depp was born in Kentucky in 1963 and at first wanted to be a rock star, playing in a number of bands and supporting acts such as Iggy Pop and The B-52s in Florida. On a visit to Los Angeles, his former wife introduced him to actor Nicolas Cage.
 
 In 1984 he started his film career playing a doomed teenager in horror film Nightmare On Elm Street. Two years later he played a soldier in Oliver Stone's Vietnam epic Platoon. But it was TV that first made Depp a star. He played undercover cop Tommy Hanson in the US series 21 Jump Street for three years from 1987.
 
 In 1990 he began his partnership with Burton in the dark fairy tale Edward Scissorhands, about a young man with blades for hands. He won plaudits in 1993 for the downbeat film What's Eating Gilbert Grape, where he played a sensitive youth looking after an overweight mother and a retarded younger brother, played by Leonardo DiCaprio. Another role under Burton, Ed Wood, starred Depp as the crazed cult film-maker Wood, in 1994. He played a much more serious, sensitive role in his next major film, Donnie Brasco, where he portrayed an undercover cop infiltrating a mafia ring. In 1997 he directed his only film to date - The Brave, the story of an Indian man offered money to appear in a snuff film.
 
 Two years later he played Hunter S Thompson in Terry Gilliam's ambitious but poorly-received big screen adaptation of Fear and Loathing in Las Vegas. He worked again with Tim Burton in the 1999 horror film Sleepy Hollow, and appeared opposite Dame Judi Dench and Juliette Binoche in Chocolat. His performance in Pirates of the Caribbean, which earned him Golden Globe and Bafta nominations, had many critics thinking he based it upon the mannerisms of his friend, Rolling Stones guitarist Keith Richards. His latest role in Finding Neverland explored JM Barrie's relationship with Sylvia (Kate Winslet) and her children. Depp's charismatic performance drew an audience of adults and children alike into Barrie's vivid imagination, and he was called the ""fifth child of the group"" by the film's director Marc Forster.
 
 He has two children of his own with French singer Vanessa Paradis, having previously been in a long-term relationship with British model Kate Moss. The theme of children's literature in Depp's career - and his long association with Tim Burton - are set to continue in his next role, playing Willy Wonka in a remake of Roald Dahl's classic Charlie and the Chocolate Factory. British TV comedy fans might also remember Depp's guest role in the final episode of BBC sketch programme The Fast Show, cited as his favourite show. It was another surprise move in Depp's varied and intriguing career.
",3
1720,"Madagascar completes currency switch
 
 Madagascar has completed the replacement of its Malagasy franc with a new currency, the ariary.
 
 From Monday, all prices and contracts will have to be quoted in the ariary, which was trading at 1,893 to the US dollar. The Malagasy franc, which lost almost half its value in 2004, is no longer legal tender but will remain exchangeable at banks until 2009. The phasing out of the franc, begun in July 2003, was intended to distance the country from its past under French colonial rule and address the problem of the large amount of counterfeit francs in circulation. ""It's above all a question of sovereignty,"" Reuters quoted a central bank official as saying. ""It is symbolic of our independence from the old colonial ways. Since we left the French monetary zone in 1973 we should have our own currency with its own name."" The ariary was the name of a pre-colonial currency in the Indian Ocean island state.
",4
